Time;Number of visible nodes;number of matched nodes;Score
57.349;14;9;64
60.118;12;8;66
61.779;12;8;66
63.588;12;8;66
64.071;12;8;66
65.285;12;8;66
66.889;12;8;66
67.937;12;8;66
69.854;12;8;66
70.478;12;8;66
70.72;12;8;66
71.429;12;8;66
71.809;12;8;66
72.298;12;8;66
73.174;12;8;66
73.902;12;8;66
74.348;12;8;66
74.859;12;8;66
75.782;12;8;66
76.325;12;8;66
77.111;12;8;66
77.872;12;9;75
79.796;12;8;66
80.555;12;8;66
81.342;12;9;75
81.975;12;8;66
82.363;12;8;66
83.17;12;8;66
85.935;12;8;66
86.326;12;8;66
87.151;12;8;66
87.98;11;8;72
89.767;10;7;70
90.94;10;7;70
91.399;10;7;70
91.609;10;7;70
92.096;10;7;70
